Teks,Bintang,Tanggal
memberikan warna dalam setiap kesendirian,5,2025-10-22 13:05:50
terbaik,5,2025-10-22 13:04:12
sangat membantu mendengarkan musijk kesukaan ku,5,2025-10-22 13:02:57
😘😘😘,5,2025-10-22 12:57:54
asik banget buat dengerin musik juga rekomen banget sihhh🙆🏻‍♀️🌸🌷😻,5,2025-10-22 12:56:46
saya sangat suka aplikasi ini walaupun ada iklan tetapi saya sering dengar lagu dari aplikasi ini dan saya akan kasih bintang 5,5,2025-10-22 12:56:33
ok ni apk,5,2025-10-22 12:56:01
sangat bagus banget,5,2025-10-22 12:54:12
lagunya tidak bayar tapi tidak murahan,5,2025-10-22 12:50:53
iklannya brutal,3,2025-10-22 12:50:53
banyak iklannya,4,2025-10-22 12:48:28
Alhamdulillah recomended for my playlist,5,2025-10-22 12:46:21
masa milih lagu harus premium?,1,2025-10-22 12:41:53
Mantab.. Suara jernih dan koleksi lagu yg lengkap.. Good job,5,2025-10-22 12:38:03
Bagus😎👍,5,2025-10-22 12:37:44
saya ingin mendengarkan lagu sad,5,2025-10-22 12:36:20
bagus,5,2025-10-22 12:21:58
oke,5,2025-10-22 12:19:51
sangat baguss tapi banyak iklannya tapii gakk apa apa 👍🏻👍🏻,5,2025-10-22 12:19:32
L ads,1,2025-10-22 12:19:31
aplikasi musik ternyaman😁,5,2025-10-22 12:18:16
"Bagus, cuma terlalu banyak iklan jadi gak nyaman.",5,2025-10-22 12:13:47
"kebanyakan iklan,g suka,baru dengerin musik udah langsung iklan,kadang iklannya bikin badmood",3,2025-10-22 12:11:49
baguss,4,2025-10-22 12:11:09
keren,5,2025-10-22 11:57:50
sangat bagus,5,2025-10-22 11:57:43
"suka banget, ga ada masalah apapun",5,2025-10-22 11:56:44
bagus kok santai aja,5,2025-10-22 11:54:37
"kita bisa cari lagu sesuai yg kita inginkan tanpa ribet,pokoknya puas untuk di download",5,2025-10-22 11:54:08
hapus aplikasi ini.nanti aku saat pakai akan aku download lagi.oke,5,2025-10-22 11:39:06
bagus,4,2025-10-22 11:37:44
kalau tidak premium kebanyakan iklan,1,2025-10-22 11:36:13
"jellekk banget sekarang spotify gratisannya baruu muterr 2 laguuu udahh muncull iklann 3 kaliii gitu"" aja trus stiap muterin lagu 2x doangg ada lagi iklann nya😭",2,2025-10-22 11:35:00
bagus banget,5,2025-10-22 11:31:42
berguna bgt buat nemenin kalo lagi sepii,5,2025-10-22 11:28:12
"kenapa ga bisa lihat lirik lagunya udah hapus cache masih tetep sama aja,udah di laporin tetep sama juga,udah lapor pa lurah katanya ga bisa,udah panggil camat juga bingung sambil geleng geleng",1,2025-10-22 11:27:45
"my spotify went blank sooo many Times i had tried many things like re download, deleted data, etc...",1,2025-10-22 11:26:14
sukaa polll,5,2025-10-22 11:25:36
bagus,5,2025-10-22 11:25:28
"ngga banget deh masa 1 lagu 6 iklan, gila sih nih apk. apk yg lain aja meskipun ga premium juga ngga segitunya. parahh",1,2025-10-22 11:23:43
bgus,5,2025-10-22 11:22:46
iklan lu kebanyakan ngntot,1,2025-10-22 11:02:36
sgt bagus,5,2025-10-22 10:59:34
banyakin iklan nya,5,2025-10-22 10:59:22
kenapa skrng banyak iklan ny ampun deh gak asyikkk,2,2025-10-22 10:37:55
"P, bagus",5,2025-10-22 10:34:54
keren ada lagu JKT soalnya😅,5,2025-10-22 10:19:23
"dikit-dikit iklan, dikit-dikit premium sampai mau milih lagu yg mau di putar juga harus premium yaaa ampunnn kalau gtu terus mending di hapus aja apk nya lah cari apk lain aja",1,2025-10-22 10:15:46
"bagus, sangat bermanfaat kalo mendengarkan musik di Spotify",5,2025-10-22 10:09:34
👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,5,2025-10-22 10:05:34
oke siiip...,5,2025-10-22 10:04:43
dulu itu kalau mau download lagu itu geratis tapi sekarang suruh bayar😰😰👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎mending dirubah kaya dulu lebih bagus,1,2025-10-22 09:57:11
good luck,5,2025-10-22 09:53:25
bagus,5,2025-10-22 09:43:46
"ini aplikasi bagus bngt, selain bagus aplikasi ini juga membantu bgt, kalo aku lagi gbt aku selalu buka aplikasi inj, seneng bgt😄😄😄😄, kalo kekurangan nya itu data nya boros bgt, karena di rumah aku engga ada wifi jadi aku beli kuota tiap habis, ditambah pake aplikasi ini yg selalu bikin boros kuota jadi beli nya harus yg mahal biar enga boros, tapi aplikasi nya membantu bgt, dan bagus 👍😍.",5,2025-10-22 09:30:37
gila iklannya makin sering muncul -_-,3,2025-10-22 09:13:13
bagus banget,5,2025-10-22 08:57:34
tolong jangan terlalu banyak berbayar dong saya bingung sebagai rakyat miskin ini gimana !! masaa orang disuruh maksa pakek premium sihhh,1,2025-10-22 08:40:22
bagus,5,2025-10-22 08:33:05
enak jadi bisa menghalu aku☺☺🤓,5,2025-10-22 08:23:04
"lagu' nya lengkap, mungkin saya kasi bintang 5 krna saya suka dngerin lagu lagu' itu... bukan kah indah, apalagi lagu'nya Nadin Amizah, Hindia, Sal priadi, Seventeen, dan lain' aku menyukai lagu yang indah, seperti kalian yang memberi rating tinggi pada aplikasi spotify ini... soo tetplah semangat menjalani hidup yaa walaupun dunia tak slalu berpihak pada kalian soo be happy",5,2025-10-22 08:19:44
bagus tapi syg ny bnyk bngt iklan ny,1,2025-10-22 08:03:09
gilaaa keren bet cooo,5,2025-10-22 08:03:02
spotify jadi spotiklan. mana iklan nya lama banget lagi,3,2025-10-22 08:00:55
"woi tanggung jawab lah playlist gw kok gak bisa di buka pas di buka gak ada lagunya semua playlist gw ilang perbaiki lah bugnya, udah tiap mau apa' harus premium",1,2025-10-22 07:53:11
Iklannya terlalu banyak,1,2025-10-22 07:42:05
"good, mudah di operasi kan,pilihan lagu lagu mudah, apa aja ada,di save mudah untuk offline ok ..... good lah rekomendasi untuk aplikasi Spotify, sukses dan terus lah berkembang..... 👍🏻🤝",5,2025-10-22 07:29:59
i like,5,2025-10-22 07:29:29
kerennnn,5,2025-10-22 07:23:23
apk ny asik well 🤟😈,5,2025-10-22 07:22:21
yo mbuh,5,2025-10-22 07:18:48
bagus banget,5,2025-10-22 07:11:11
seru bisa dengerin lagu,4,2025-10-22 07:09:44
